id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Abigayle;Kutch;Pierre.Dietrich@yahoo.com;extend Unbranded Fresh Pants Tools;2019-10-14T15:55:58;9398;43847
2;Koby;Osinski;Erling54@gmail.com;stable Utah Computers;2019-10-15T04:55:44;3883;82260
3;Ellen;Herzog;Brandy_Hane@yahoo.com;composite Orchestrator Club;2019-10-14T09:37:01;5168;19438
4;Juston;Jast;Maximo72@yahoo.com;Strategist;2019-10-14T17:26:03;71459;32295
5;Allan;Schimmel;Donato_Kemmer@yahoo.com;Ameliorated;2019-10-15T01:24:05;96264;8087
6;Rocio;Keebler;Martina17@hotmail.com;Table Enterprise-wide Benin;2019-10-14T12:40:31;18286;66019
7;Tracy;Gottlieb;Verda_Larkin55@yahoo.com;Credit Card Account paradigms;2019-10-14T23:52:48;56603;35597
8;Carmelo;Rosenbaum;Adrianna9@gmail.com;Small;2019-10-14T22:21:05;85546;97951
9;Mazie;Dare;Agustina.Boyle80@yahoo.com;e-business Light;2019-10-14T14:13:51;39850;4805
10;Levi;White;Sheridan37@yahoo.com;Personal Loan Account;2019-10-14T17:45:01;50103;85648
